avg_speed,volume_measured
20.95,2.956
13.07,2.905
11.13,2.892
25.18,2.938
21.22,2.92
23.86,2.935
26.63,2.92
28.24,2.979
33.32,2.95
34.71,2.993
32.2,2.96
28.88,2.947
37.48,2.98
40.46,2.932
48.52,2.975
77.96,2.96
42.2,2.965
53,2.902
51.8,2.903
20.79,2.962
60.18,2.932
55.89,2.909
48.32,2.978
67.27,2.92
68.08,2.947
73.77,2.905
52.55,2.916
39.08,2.876
48.11,2.939
75.78,2.927
43.04,2.924
66.42,2.919
58.18,2.938
60.66,2.872
51.11,2.859
71.68,2.925
50.31,2.882
70.2,2.877
79.03,2.988
63.53,2.982
38.3,2.923
72.92,2.889
40.47,2.926
84.65,2.88
60.07,2.948
36.79,2.953
47.38,2.964
87.8,2.985
49.12,2.868
76.95,2.922
